RegionID,CBSACode
394880,34100
394881,34140
394882,34180
394883,34220
394884,34340
394885,34380
394886,34420
394887,34460
394888,34500
394889,34540
394890,34580
394891,34260
394892,34300
394893,34620
394894,34660
394895,34700
394896,34740
394897,34780
394898,34820
394899,34860
394900,34900
394901,34940
394902,34980
394903,35020
394904,35060
394905,35100
394906,35220
394907,35260
394908,35300
394910,35380
394911,35420
394912,35580
394913,35620
394914,35140
394915,35460
394916,35500
394917,35660
394918,35700
394919,35740
394920,35820
394921,35860
394922,35900
394923,35940
394924,35980
394925,36020
394927,36100
394928,36140
394930,36220
394931,36260
394932,36300
394933,36340
394934,36380
394935,36420
394936,36460
394937,36500
394938,36540
394939,36580
394940,36620
394941,36660
394942,36700
394943,36740
394944,36780
394945,36820
394946,36860
394947,36900
394948,36940
394949,36980
394950,37020
394951,37060
394952,37100
394953,37140
394954,37220
394955,37260
394956,37300
394957,37340
394959,37420
394960,37460
394961,37500
394962,37540
394963,37580
394964,37620
394965,37660
394967,37740
394968,37780
394971,37860
394972,37900
394973,37940
394974,37980
394976,38060
394977,38100
394979,38180
394980,38220
394981,38260
394982,38300
394983,38340
394984,38380
394985,38420
394986,38460
394987,38500
394988,38540
394989,38580
394990,38620
394992,38700
394993,38740
394994,38820
394995,38940
394996,38780
394997,38860
394998,38900
394999,39020
395000,39060
395002,39140
395003,39220
395004,39260
395005,39300
395006,39340
395007,39380
395008,39420
395009,39460
395010,39500
395011,39540
395012,39580
395013,39660
395014,39700
395015,39740
395016,39780
395017,39860
395018,39820
395019,39900
395020,39940
395021,39980
395022,40060
395023,40080
395024,40100
395025,40140
395026,40180
395027,40260
395028,40220
395029,40300
395030,40340
395031,40380
395032,40540
395033,40420
395034,40460
395036,40580
395037,40620
395038,40660
395039,40700
395040,40740
395042,40780
395043,40820
395044,40860
395045,40900
395046,40940
395047,40980
395048,41420
395049,41460
395050,41500
395051,41540
395053,41620
395054,41660
395055,41700
395056,41740
395057,41860
395059,41940
395061,42020
395062,41780
395063,41820
395065,42100
395066,42140
395068,42220
395069,42300
395070,42340
395071,42380
395072,42420
395073,42460
395075,42540
395077,42620
395078,42660
395079,42680
395080,42700
395081,42740
395082,42780
395083,42820
395084,42900
395085,42860
395086,42940
395087,42980
395088,43060
395089,43100
395090,43140
395091,43180
395092,43220
395093,43260
395094,43300
395095,43320
395096,43340
395097,43380
395098,43420
395099,43460
395100,43500
395102,43580
395103,43620
395104,43660
395105,43700
395106,43740
395107,43780
395109,43900
395110,43940
395111,43980
395112,44020
395113,44060
395114,44100
395115,44140
395116,44180
395117,44220
395118,41060
395119,41100
395120,41140
395121,41180
395122,41220
395124,44260
395125,44300
395126,44340
395128,44420
395129,44500
395130,44540
395131,44580
395132,44620
395133,44660
395134,44700
395135,44740
395136,44780
395137,44860
395138,44900
395139,44940
395140,44980
395141,45000
395142,45020
395143,45060
395144,45140
395145,45180
395146,45220
395148,45300
395149,45340
395150,45380
395151,45460
395152,45500
395153,45540
395154,45580
395155,45620
395157,45660
395158,45700
395159,45740
395160,45780
395161,45820
395162,45860
395163,45900
395164,45940
395165,45980
395166,46020
395167,46060
395168,46100
395169,46140
395170,46180
395171,46220
395173,46300
395174,46340
395175,46380
395176,46460
395178,46500
395179,46540
395181,46620
395182,46660
395183,46700
395184,46740
395185,46780
395186,46820
395187,46860
395188,46900
395189,46980
395190,47020
395191,47080
395192,47180
395193,47220
395194,47260
395195,47300
395196,47340
395197,47380
395198,47420
395199,47460
395201,47540
395202,47580
395203,47620
395204,47660
395205,47700
395206,47920
395207,47780
395208,47820
395209,47900
395210,47940
395211,47980
395212,48020
395213,48060
395214,48100
395215,48140
395216,48180
395217,48260
395218,48300
395219,48460
395221,48540
395222,48580
395223,48660
395224,48620
395225,48700
395227,48780
395228,48820
395229,48900
395230,48940
395231,48980
395232,49020
395234,49100
395235,49180
395236,49260
395237,49300
395238,49340
395239,49380
395240,49420
395241,49460
395244,49620
395245,49660
395246,49700
395247,49740
395248,49780
753864,11680
753865,12680
753866,13720
753869,14010
753871,14720
753872,15680
753874,18780
753875,18880
753877,19000
753878,19420
753879,21180
753880,21840
753881,24060
753883,24640
753884,25200
753887,25840
753889,25880
753890,26090
753891,26960
753892,27160
753893,27600
753894,27920
753895,29200
753898,30880
753899,31080
753901,31220
753902,31680
753903,31930
753904,32000
753905,35440
753906,35840
753908,36830
753909,36840
753910,37080
753911,37120
753912,38240
753913,38840
753914,38920
753915,41400
753916,41760
753917,42200
753918,43020
753920,43760
753921,44460
753922,44920
753923,45520
753924,46520
753925,47240
753926,48220
753927,49080
753928,49220
753929,49820
NULL,NULL
